Plot Idnum ,old plot num,Year,Rep,Treatment-num,Treatment_st,Fert,Fert_st,Tillage,Tillage_st,Leaf_N_per,Leaf_P_per,Leaf_K_per,Leaf_Ca_per,Leaf_Mg_per,Leaf_S_per,Leaf_B_ppm,Leaf_Fe_ppm,Leaf_Mn_ppm,Leaf_Cu_ppm,Leaf_Zn_ppm,Leaf_Al_ppm,Leaf_Na_ppm
217,202-4,2014,2,17,NT_N,2,N_only,4,No_till,3.23,0.217,0.97,0.58,0.354,0.189,6,78.1,49.4,11.8,27.1,32.3,
218,203-4,2014,2,18,NT_NwNPK,3,NplusNPKst,4,No_till,3.52,0.3,1.53,0.49,0.279,0.193,7.7,89.1,45.7,12.8,27.8,39.9,
219,204-4,2014,2,19,NT_NPK,4,NPK,4,No_till,3.13,0.296,2.07,0.5,0.162,0.187,5.8,84.3,44.4,13.5,25.4,37.9,
220,205-4,2014,2,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,3.47,0.296,2.32,0.54,0.148,0.197,5.8,91.3,49.4,13,23.2,49.1,
301,301-1,2014,3,1,CT_ctrl,1,Control,1,Conv,2.67,0.25,1.88,0.34,0.155,0.155,7.2,64.4,28.9,9,21.6,35.4,
302,302-1,2014,3,2,CT_N,2,N_only,1,Conv,3.47,0.243,1.02,0.55,0.35,0.21,7.6,84.8,62.2,13.1,25,32.2,
303,303-1,2014,3,3,CT_NwNPK,3,NplusNPKst,1,Conv,3.18,0.29,1.84,0.45,0.195,0.195,6.6,78.5,38,10.7,19.3,38.8,
304,304-1,2014,3,4,CT_NPK,4,NPK,1,Conv,3.98,0.321,1.97,0.51,0.148,0.229,8,98.2,43.5,13.7,24,34.6,
305,305-1,2014,3,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,3.91,0.326,2.35,0.53,0.149,0.213,7,92.7,38.5,12.2,20,41.1,
306,301-2,2014,3,6,AT_ctrl,1,Control,2,Alt,3.2,0.255,1.24,0.45,0.28,0.192,6.8,78.7,33.8,11.7,25.1,36,
307,302-2,2014,3,7,AT_N,2,N_only,2,Alt,3.38,0.252,1.18,0.44,0.29,0.193,7.2,79.3,40.6,11.6,26.5,38,
308,303-2,2014,3,8,AT_NwNPK,3,NplusNPKst,2,Alt,3.26,0.31,1.62,0.37,0.219,0.189,8,76.6,36.4,11.5,23.9,39.7,
309,304-2,2014,3,9,AT_NPK,4,NPK,2,Alt,3,0.315,1.9,0.38,0.159,0.194,9.4,83.1,41.1,11.5,24.2,34.7,
